# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

1f3c2;1f3c2_1f3fb # snowboarder
1f3c2;1f3c2_1f3fc
1f3c2;1f3c2_1f3fd
1f3c2;1f3c2_1f3fe
1f3c2;1f3c2_1f3ff
1f3c7;1f3c7_1f3fb # horse racing
1f3c7;1f3c7_1f3fc
1f3c7;1f3c7_1f3fd
1f3c7;1f3c7_1f3fe
1f3c7;1f3c7_1f3ff
1f6c0;1f6c0_1f3fb # person taking bath
1f6c0;1f6c0_1f3fc
1f6c0;1f6c0_1f3fd
1f6c0;1f6c0_1f3fe
1f6c0;1f6c0_1f3ff
1f6cc;1f6cc_1f3fb # person in bed
1f6cc;1f6cc_1f3fc
1f6cc;1f6cc_1f3fd
1f6cc;1f6cc_1f3fe
1f6cc;1f6cc_1f3ff
1f9d1;1f9d1_1f3fb # adult
1f9d1;1f9d1_1f3fc
1f9d1;1f9d1_1f3fd
1f9d1;1f9d1_1f3fe
1f9d1;1f9d1_1f3ff
1f9d3;1f9d3_1f3fb # older adult
1f9d3;1f9d3_1f3fc
1f9d3;1f9d3_1f3fd
1f9d3;1f9d3_1f3fe
1f9d3;1f9d3_1f3ff
1f476;1f476_1f3fb # baby
1f476;1f476_1f3fc
1f476;1f476_1f3fd
1f476;1f476_1f3fe
1f476;1f476_1f3ff
1f9d2;1f9d2_1f3fb # child
1f9d2;1f9d2_1f3fc
1f9d2;1f9d2_1f3fd
1f9d2;1f9d2_1f3fe
1f9d2;1f9d2_1f3ff
1f466;1f466_1f3fb # boy
1f466;1f466_1f3fc
1f466;1f466_1f3fd
1f466;1f466_1f3fe
1f466;1f466_1f3ff
1f467;1f467_1f3fb # girl
1f467;1f467_1f3fc
1f467;1f467_1f3fd
1f467;1f467_1f3fe
1f467;1f467_1f3ff
1f468;1f468_1f3fb # man
1f468;1f468_1f3fc
1f468;1f468_1f3fd
1f468;1f468_1f3fe
1f468;1f468_1f3ff
1f469;1f469_1f3fb # woman
1f469;1f469_1f3fc
1f469;1f469_1f3fd
1f469;1f469_1f3fe
1f469;1f469_1f3ff
1f474;1f474_1f3fb # old man
1f474;1f474_1f3fc
1f474;1f474_1f3fd
1f474;1f474_1f3fe
1f474;1f474_1f3ff
1f475;1f475_1f3fb # old woman
1f475;1f475_1f3fc
1f475;1f475_1f3fd
1f475;1f475_1f3fe
1f475;1f475_1f3ff
1f9d4;1f9d4_1f3fb # bearded person
1f9d4;1f9d4_1f3fc
1f9d4;1f9d4_1f3fd
1f9d4;1f9d4_1f3fe
1f9d4;1f9d4_1f3ff
1f470;1f470_1f3fb # bride with veil
