# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

# XXX all of these must be remove when 'person' artwork exists

# police officer
1f46e_200d_2640;1f46e
1f46e_1f3fb_200d_2640;1f46e_1f3fb
1f46e_1f3fc_200d_2640;1f46e_1f3fc
1f46e_1f3fd_200d_2640;1f46e_1f3fd
1f46e_1f3fe_200d_2640;1f46e_1f3fe
1f46e_1f3ff_200d_2640;1f46e_1f3ff

# detective
1f575_200d_2640;1f575
1f575_1f3fb_200d_2640;1f575_1f3fb
1f575_1f3fc_200d_2640;1f575_1f3fc
1f575_1f3fd_200d_2640;1f575_1f3fd
1f575_1f3fe_200d_2640;1f575_1f3fe
1f575_1f3ff_200d_2640;1f575_1f3ff

# guard
1f482_200d_2640;1f482
1f482_1f3fb_200d_2640;1f482_1f3fb
1f482_1f3fc_200d_2640;1f482_1f3fc
1f482_1f3fd_200d_2640;1f482_1f3fd
1f482_1f3fe_200d_2640;1f482_1f3fe
1f482_1f3ff_200d_2640;1f482_1f3ff

# construction worker
1f477_200d_2640;1f477
1f477_1f3fb_200d_2640;1f477_1f3fb
1f477_1f3fc_200d_2640;1f477_1f3fc
1f477_1f3fd_200d_2640;1f477_1f3fd
1f477_1f3fe_200d_2640;1f477_1f3fe
1f477_1f3ff_200d_2640;1f477_1f3ff

# person wearing turban
1f473_200d_2640;1f473
1f473_1f3fb_200d_2640;1f473_1f3fb
1f473_1f3fc_200d_2640;1f473_1f3fc
1f473_1f3fd_200d_2640;1f473_1f3fd
1f473_1f3fe_200d_2640;1f473_1f3fe
1f473_1f3ff_200d_2640;1f473_1f3ff

# blond-haired person
1f471_200d_2640;1f471
1f471_1f3fb_200d_2640;1f471_1f3fb
1f471_1f3fc_200d_2640;1f471_1f3fc
1f471_1f3fd_200d_2640;1f471_1f3fd
1f471_1f3fe_200d_2640;1f471_1f3fe
1f471_1f3ff_200d_2640;1f471_1f3ff

# superhero
1f9b8_200d_2640;1f9b8
1f9b8_1f3fb_200d_2640;1f9b8_1f3fb
